2016-12-27 14:31:21 [main] INFO  hss.Application - Starting Application on Foreveross-PC with PID 3568 (C:\Users\Foreveross\IdeaProjects\sihouzi\target\classes started by Foreveross in C:\Users\Foreveross\IdeaProjects\sihouzi)
2016-12-27 14:31:22 [main] INFO  hss.Application - The following profiles are active: prod
2016-12-27 14:31:22 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [C:\Users\Foreveross\IdeaProjects\sihouzi\target\classes\spring\services.xml]
2016-12-27 14:31:24 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@229d10bd: startup date [Tue Dec 27 14:31:24 CST 2016]; root of context hierarchy
2016-12-27 14:31:27 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$cc47cd4e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-12-27 14:31:29 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8888 (http)
2016-12-27 14:31:29 [main] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
2016-12-27 14:31:29 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.0.33
2016-12-27 14:31:30 [localhost-startStop-1] INFO  o.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2016-12-27 14:31:30 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2016-12-27 14:31:30 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 6617 ms
2016-12-27 14:31:31 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2016-12-27 14:31:31 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean - Mapping servlet: 'dubbox-dispatcherServlet' to [/api/*]
2016-12-27 14:31:31 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean - Mapping servlet: 'statViewServlet' to [/druid/*]
2016-12-27 14:31:31 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2016-12-27 14:31:31 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2016-12-27 14:31:31 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2016-12-27 14:31:31 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2016-12-27 14:31:31 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
2016-12-27 14:31:32 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
2016-12-27 14:31:33 [main] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1} inited
2016-12-27 14:31:36 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@229d10bd: startup date [Tue Dec 27 14:31:24 CST 2016]; root of context hierarchy
2016-12-27 14:31:36 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/hehe]}" onto public java.lang.String hss.service.rest.ShopRestServiceImpl.hehe()
