2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/messages/messagespage],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.MessagesRsetServiceImpl.getMessagesPageList(int,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/messages/amendmessages_status],methods=[PUT]}" onto public java.lang.String hss.service.rest.MessagesRsetServiceImpl.amendShop_statusById(java.lang.Integer,java.lang.Integer)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/file],methods=[GET]}" onto public java.lang.String hss.service.rest.OrderRestServiceImpl.download(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/update/{id}],methods=[PUT]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.OrderRestServiceImpl.updateShopById(java.lang.Integer,hss.domain.Order)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/testAddOrder]}" onto public void hss.service.rest.OrderRestServiceImpl.testAddOrder()
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/amendpaystatus],methods=[PUT]}" onto public java.lang.String hss.service.rest.OrderRestServiceImpl.amendShop_statusById(java.lang.Integer,java.lang.Integer)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/orderspage],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.OrderRestServiceImpl.getOrderPageList(int,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/file],methods=[GET]}" onto public java.lang.String hss.service.rest.ShopRestServiceImpl.download(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/update/{id}],methods=[PUT]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.ShopRestServiceImpl.updateShopById(java.lang.Integer,hss.domain.Shop)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/newpage],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.ShopRestServiceImpl.getDataGroupList(int,int,java.lang.String)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/{id}],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.ShopRestServiceImpl.getShopById(java.lang.Integer)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.ShopRestServiceImpl.getShopList()
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/newspage],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.ShopRestServiceImpl.getShopPageList(int,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/hehe]}" onto public java.lang.String hss.service.rest.ShopRestServiceImpl.hehe()
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/page],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.ShopRestServiceImpl.getUserListpage(int,int)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/add],methods=[POST]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.ShopRestServiceImpl.createShop(hss.domain.Shop)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/{id}],methods=[DELETE]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.ShopRestServiceImpl.deleteShopById(java.lang.Integer)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/shop/amendShop_status],methods=[PUT]}" onto public java.lang.String hss.service.rest.ShopRestServiceImpl.amendShop_statusById(java.lang.Integer,java.lang.String)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/file],methods=[GET]}" onto public java.lang.String hss.service.rest.UserRestServiceImpl.download(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/hehe]}" onto public java.lang.String hss.service.rest.UserRestServiceImpl.hehe()
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/page],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.UserRestServiceImpl.getUserListpage()
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/userspage],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.UserRestServiceImpl.getGroupList(int,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.UserRestServiceImpl.getUserList()
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/update/{id}],methods=[PUT]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.UserRestServiceImpl.updateUserById(java.lang.Integer,hss.domain.User)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/{id}],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.UserRestServiceImpl.getUserById(java.lang.Integer)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/add],methods=[POST]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.UserRestServiceImpl.createUser(hss.domain.User)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/{id}],methods=[DELETE]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.UserRestServiceImpl.deleteUserById(java.lang.Integer)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/users/amenduserstatus],methods=[PUT]}" onto public java.lang.String hss.service.rest.UserRestServiceImpl.amendShop_statusById(java.lang.Integer,int)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-02-07 14:35:06 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-02-07 14:35:08 [main] INFO  o.s.w.s.c.a.WebMvcConfigurerAdapter - Adding welcome page: ServletContext resource [/index.html]
2017-02-07 14:35:08 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Root mapping to handler of type [class org.springframework.web.servlet.mvc.ParameterizableViewController]
2017-02-07 14:35:08 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-07 14:35:08 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-07 14:35:08 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
